Id,ActivityDate,ActivityHour,Calories
1503960366,12/04/2016,12:00:00,81
1503960366,12/04/2016,01:00:00,61
1503960366,12/04/2016,02:00:00,59
1503960366,12/04/2016,03:00:00,47
1503960366,12/04/2016,04:00:00,48
1503960366,12/04/2016,05:00:00,48
1503960366,12/04/2016,06:00:00,48
1503960366,12/04/2016,07:00:00,47
1503960366,12/04/2016,08:00:00,68
1503960366,12/04/2016,09:00:00,141
1503960366,12/04/2016,10:00:00,99
1503960366,12/04/2016,11:00:00,76
1503960366,12/04/2016,12:00:00,73
1503960366,12/04/2016,01:00:00,66
1503960366,12/04/2016,02:00:00,110
1503960366,12/04/2016,03:00:00,151
1503960366,12/04/2016,04:00:00,76
1503960366,12/04/2016,05:00:00,83
1503960366,12/04/2016,06:00:00,124
1503960366,12/04/2016,07:00:00,104
1503960366,12/04/2016,08:00:00,132
1503960366,12/04/2016,09:00:00,100
1503960366,12/04/2016,10:00:00,65
1503960366,12/04/2016,11:00:00,81
1503960366,13/04/2016,12:00:00,69
1503960366,13/04/2016,01:00:00,48
1503960366,13/04/2016,02:00:00,47
1503960366,13/04/2016,03:00:00,53
1503960366,13/04/2016,04:00:00,47
1503960366,13/04/2016,05:00:00,47
1503960366,13/04/2016,06:00:00,48
1503960366,13/04/2016,07:00:00,59
1503960366,13/04/2016,08:00:00,69
1503960366,13/04/2016,09:00:00,136
1503960366,13/04/2016,10:00:00,77
1503960366,13/04/2016,11:00:00,84
1503960366,13/04/2016,12:00:00,82
1503960366,13/04/2016,01:00:00,72
1503960366,13/04/2016,02:00:00,128
1503960366,13/04/2016,03:00:00,79
1503960366,13/04/2016,04:00:00,71
1503960366,13/04/2016,05:00:00,87
1503960366,13/04/2016,06:00:00,118
1503960366,13/04/2016,07:00:00,73
1503960366,13/04/2016,08:00:00,47
1503960366,13/04/2016,09:00:00,48
1503960366,13/04/2016,10:00:00,74
1503960366,13/04/2016,11:00:00,135
1503960366,14/04/2016,12:00:00,56
1503960366,14/04/2016,01:00:00,54
1503960366,14/04/2016,02:00:00,47
1503960366,14/04/2016,03:00:00,47
1503960366,14/04/2016,04:00:00,47
1503960366,14/04/2016,05:00:00,47
1503960366,14/04/2016,06:00:00,47
1503960366,14/04/2016,07:00:00,47
1503960366,14/04/2016,08:00:00,47
1503960366,14/04/2016,09:00:00,93
1503960366,14/04/2016,10:00:00,109
1503960366,14/04/2016,11:00:00,64
1503960366,14/04/2016,12:00:00,85
1503960366,14/04/2016,01:00:00,137
1503960366,14/04/2016,02:00:00,113
1503960366,14/04/2016,03:00:00,66
1503960366,14/04/2016,04:00:00,88
1503960366,14/04/2016,05:00:00,61
1503960366,14/04/2016,06:00:00,72
1503960366,14/04/2016,07:00:00,55
1503960366,14/04/2016,08:00:00,91
1503960366,14/04/2016,09:00:00,174
1503960366,14/04/2016,10:00:00,79
1503960366,14/04/2016,11:00:00,50
1503960366,15/04/2016,12:00:00,60
1503960366,15/04/2016,01:00:00,58
1503960366,15/04/2016,02:00:00,59
1503960366,15/04/2016,03:00:00,47
1503960366,15/04/2016,04:00:00,47
1503960366,15/04/2016,05:00:00,49
1503960366,15/04/2016,06:00:00,47
1503960366,15/04/2016,07:00:00,49
1503960366,15/04/2016,08:00:00,54
1503960366,15/04/2016,09:00:00,50
1503960366,15/04/2016,10:00:00,63
1503960366,15/04/2016,11:00:00,84
1503960366,15/04/2016,12:00:00,74
1503960366,15/04/2016,01:00:00,67
1503960366,15/04/2016,02:00:00,47
1503960366,15/04/2016,03:00:00,47
1503960366,15/04/2016,04:00:00,47
1503960366,15/04/2016,05:00:00,140
1503960366,15/04/2016,06:00:00,87
1503960366,15/04/2016,07:00:00,97
1503960366,15/04/2016,08:00:00,64
1503960366,15/04/2016,09:00:00,75
1503960366,15/04/2016,10:00:00,151
1503960366,15/04/2016,11:00:00,182
1503960366,16/04/2016,12:00:00,77
1503960366,16/04/2016,01:00:00,48
1503960366,16/04/2016,02:00:00,52
1503960366,16/04/2016,03:00:00,48
1503960366,16/04/2016,04:00:00,49
1503960366,16/04/2016,05:00:00,49
1503960366,16/04/2016,06:00:00,48
1503960366,16/04/2016,07:00:00,54
1503960366,16/04/2016,08:00:00,62
1503960366,16/04/2016,09:00:00,124
1503960366,16/04/2016,10:00:00,110
1503960366,16/04/2016,11:00:00,147
1503960366,16/04/2016,12:00:00,119
1503960366,16/04/2016,01:00:00,214
1503960366,16/04/2016,02:00:00,82
1503960366,16/04/2016,03:00:00,51
1503960366,16/04/2016,04:00:00,54
1503960366,16/04/2016,05:00:00,79
1503960366,16/04/2016,06:00:00,65
1503960366,16/04/2016,07:00:00,67
1503960366,16/04/2016,08:00:00,81
1503960366,16/04/2016,09:00:00,75
1503960366,16/04/2016,10:00:00,55
1503960366,16/04/2016,11:00:00,56
1503960366,17/04/2016,12:00:00,47
1503960366,17/04/2016,01:00:00,48
1503960366,17/04/2016,02:00:00,47
1503960366,17/04/2016,03:00:00,49
1503960366,17/04/2016,04:00:00,48
1503960366,17/04/2016,05:00:00,48
1503960366,17/04/2016,06:00:00,48
1503960366,17/04/2016,07:00:00,48
1503960366,17/04/2016,08:00:00,48
1503960366,17/04/2016,09:00:00,48
1503960366,17/04/2016,10:00:00,47
1503960366,17/04/2016,11:00:00,63
1503960366,17/04/2016,12:00:00,76
1503960366,17/04/2016,01:00:00,83
1503960366,17/04/2016,02:00:00,69
1503960366,17/04/2016,03:00:00,73
1503960366,17/04/2016,04:00:00,57
1503960366,17/04/2016,05:00:00,174
1503960366,17/04/2016,06:00:00,136
1503960366,17/04/2016,07:00:00,95
1503960366,17/04/2016,08:00:00,191
1503960366,17/04/2016,09:00:00,79
1503960366,17/04/2016,10:00:00,58
1503960366,17/04/2016,11:00:00,50
1503960366,18/04/2016,12:00:00,82
1503960366,18/04/2016,01:00:00,48
1503960366,18/04/2016,02:00:00,47
1503960366,18/04/2016,03:00:00,47
1503960366,18/04/2016,04:00:00,47
1503960366,18/04/2016,05:00:00,47
1503960366,18/04/2016,06:00:00,47
1503960366,18/04/2016,07:00:00,47
1503960366,18/04/2016,08:00:00,47
1503960366,18/04/2016,09:00:00,133
1503960366,18/04/2016,10:00:00,81
1503960366,18/04/2016,11:00:00,73
1503960366,18/04/2016,12:00:00,118
1503960366,18/04/2016,01:00:00,70
1503960366,18/04/2016,02:00:00,64
1503960366,18/04/2016,03:00:00,80
1503960366,18/04/2016,04:00:00,78
1503960366,18/04/2016,05:00:00,79
1503960366,18/04/2016,06:00:00,234
1503960366,18/04/2016,07:00:00,157
1503960366,18/04/2016,08:00:00,57
1503960366,18/04/2016,09:00:00,68
1503960366,18/04/2016,10:00:00,86
1503960366,18/04/2016,11:00:00,83
1503960366,19/04/2016,12:00:00,47
1503960366,19/04/2016,01:00:00,49
1503960366,19/04/2016,02:00:00,47
1503960366,19/04/2016,03:00:00,50
1503960366,19/04/2016,04:00:00,47
1503960366,19/04/2016,05:00:00,47
1503960366,19/04/2016,06:00:00,49
1503960366,19/04/2016,07:00:00,75
1503960366,19/04/2016,08:00:00,130
1503960366,19/04/2016,09:00:00,79
1503960366,19/04/2016,10:00:00,75
1503960366,19/04/2016,11:00:00,72
1503960366,19/04/2016,12:00:00,143
1503960366,19/04/2016,01:00:00,171
1503960366,19/04/2016,02:00:00,76
1503960366,19/04/2016,03:00:00,72
1503960366,19/04/2016,04:00:00,71
1503960366,19/04/2016,05:00:00,90
1503960366,19/04/2016,06:00:00,120
1503960366,19/04/2016,07:00:00,93
1503960366,19/04/2016,08:00:00,159
1503960366,19/04/2016,09:00:00,94
1503960366,19/04/2016,10:00:00,58
1503960366,19/04/2016,11:00:00,120
1503960366,20/04/2016,12:00:00,54
1503960366,20/04/2016,01:00:00,53
1503960366,20/04/2016,02:00:00,47
1503960366,20/04/2016,03:00:00,48
1503960366,20/04/2016,04:00:00,48
1503960366,20/04/2016,05:00:00,47
1503960366,20/04/2016,06:00:00,48
1503960366,20/04/2016,07:00:00,51
1503960366,20/04/2016,08:00:00,70
1503960366,20/04/2016,09:00:00,144
1503960366,20/04/2016,10:00:00,79
1503960366,20/04/2016,11:00:00,58
1503960366,20/04/2016,12:00:00,64
1503960366,20/04/2016,01:00:00,61
1503960366,20/04/2016,02:00:00,113
1503960366,20/04/2016,03:00:00,97
1503960366,20/04/2016,04:00:00,70
1503960366,20/04/2016,05:00:00,57
1503960366,20/04/2016,06:00:00,114
1503960366,20/04/2016,07:00:00,117
1503960366,20/04/2016,08:00:00,80
1503960366,20/04/2016,09:00:00,83
1503960366,20/04/2016,10:00:00,62
1503960366,20/04/2016,11:00:00,120
1503960366,21/04/2016,12:00:00,54
1503960366,21/04/2016,01:00:00,61
1503960366,21/04/2016,02:00:00,55
1503960366,21/04/2016,03:00:00,48
1503960366,21/04/2016,04:00:00,47
1503960366,21/04/2016,05:00:00,47
1503960366,21/04/2016,06:00:00,48
1503960366,21/04/2016,07:00:00,52
1503960366,21/04/2016,08:00:00,71
1503960366,21/04/2016,09:00:00,133
1503960366,21/04/2016,10:00:00,77
1503960366,21/04/2016,11:00:00,55
1503960366,21/04/2016,12:00:00,73
1503960366,21/04/2016,01:00:00,113
1503960366,21/04/2016,02:00:00,58
1503960366,21/04/2016,03:00:00,68
1503960366,21/04/2016,04:00:00,60
1503960366,21/04/2016,05:00:00,60
1503960366,21/04/2016,06:00:00,69
1503960366,21/04/2016,07:00:00,64
1503960366,21/04/2016,08:00:00,213
1503960366,21/04/2016,09:00:00,104
1503960366,21/04/2016,10:00:00,63
1503960366,21/04/2016,11:00:00,84
1503960366,22/04/2016,12:00:00,47
1503960366,22/04/2016,01:00:00,47
1503960366,22/04/2016,02:00:00,47
1503960366,22/04/2016,03:00:00,47
1503960366,22/04/2016,04:00:00,47
1503960366,22/04/2016,05:00:00,47
1503960366,22/04/2016,06:00:00,47
1503960366,22/04/2016,07:00:00,47
1503960366,22/04/2016,08:00:00,47
1503960366,22/04/2016,09:00:00,65
1503960366,22/04/2016,10:00:00,54
1503960366,22/04/2016,11:00:00,102
1503960366,22/04/2016,12:00:00,57
1503960366,22/04/2016,01:00:00,60
1503960366,22/04/2016,02:00:00,54
1503960366,22/04/2016,03:00:00,66
1503960366,22/04/2016,04:00:00,58
1503960366,22/04/2016,05:00:00,104
1503960366,22/04/2016,06:00:00,87
1503960366,22/04/2016,07:00:00,82
1503960366,22/04/2016,08:00:00,71
1503960366,22/04/2016,09:00:00,311
1503960366,22/04/2016,10:00:00,95
1503960366,22/04/2016,11:00:00,136
1503960366,23/04/2016,12:00:00,63
1503960366,23/04/2016,01:00:00,47
1503960366,23/04/2016,02:00:00,49
1503960366,23/04/2016,03:00:00,47
1503960366,23/04/2016,04:00:00,47
1503960366,23/04/2016,05:00:00,48
1503960366,23/04/2016,06:00:00,50
1503960366,23/04/2016,07:00:00,48
1503960366,23/04/2016,08:00:00,59
1503960366,23/04/2016,09:00:00,75
1503960366,23/04/2016,10:00:00,56
1503960366,23/04/2016,11:00:00,84
1503960366,23/04/2016,12:00:00,129
1503960366,23/04/2016,01:00:00,129
1503960366,23/04/2016,02:00:00,78
1503960366,23/04/2016,03:00:00,73
1503960366,23/04/2016,04:00:00,140
1503960366,23/04/2016,05:00:00,121
1503960366,23/04/2016,06:00:00,173
1503960366,23/04/2016,07:00:00,51
1503960366,23/04/2016,08:00:00,63
1503960366,23/04/2016,09:00:00,162
1503960366,23/04/2016,10:00:00,96
1503960366,23/04/2016,11:00:00,60
1503960366,24/04/2016,12:00:00,66
1503960366,24/04/2016,01:00:00,54
1503960366,24/04/2016,02:00:00,48
1503960366,24/04/2016,03:00:00,48
1503960366,24/04/2016,04:00:00,49
1503960366,24/04/2016,05:00:00,48
1503960366,24/04/2016,06:00:00,49
1503960366,24/04/2016,07:00:00,47
1503960366,24/04/2016,08:00:00,49
1503960366,24/04/2016,09:00:00,59
1503960366,24/04/2016,10:00:00,90
1503960366,24/04/2016,11:00:00,67
1503960366,24/04/2016,12:00:00,82
1503960366,24/04/2016,01:00:00,74
1503960366,24/04/2016,02:00:00,52
1503960366,24/04/2016,03:00:00,52
1503960366,24/04/2016,04:00:00,102
1503960366,24/04/2016,05:00:00,86
1503960366,24/04/2016,06:00:00,115
1503960366,24/04/2016,07:00:00,270
1503960366,24/04/2016,08:00:00,76
1503960366,24/04/2016,09:00:00,74
1503960366,24/04/2016,10:00:00,61
1503960366,24/04/2016,11:00:00,72
1503960366,25/04/2016,12:00:00,62
1503960366,25/04/2016,01:00:00,53
1503960366,25/04/2016,02:00:00,57
